iter	Passed	Remaining
0	0	254
1	0	185
2	1	184
3	1	186
4	2	185
5	2	183
6	3	184
7	3	183
8	4	183
9	4	182
10	5	181
11	5	182
12	5	181
13	6	180
14	6	183
15	7	183
16	8	185
17	8	185
18	9	185
19	9	184
20	9	183
21	10	182
22	10	181
23	11	180
24	11	179
25	12	179
26	12	179
27	13	178
28	13	178
29	14	178
30	14	177
31	14	176
32	15	176
33	15	175
34	16	174
35	16	174
36	17	174
37	17	173
38	18	172
39	18	172
40	19	171
41	19	170
42	19	170
43	20	169
44	20	169
45	21	170
46	21	169
47	22	168
48	22	168
49	23	168
50	23	167
51	24	166
52	24	165
53	25	165
54	25	165
55	26	164
56	26	164
57	26	163
58	27	163
59	27	162
60	28	161
61	28	161
62	29	160
63	29	160
64	30	159
65	30	158
66	30	158
67	31	158
68	31	157
69	32	157
70	32	156
71	33	156
72	33	155
73	34	155
74	34	155
75	35	155
76	35	154
77	36	153
78	36	153
79	37	153
80	37	152
81	38	152
82	38	151
83	38	150
84	39	150
85	39	149
86	40	149
87	40	149
88	41	148
89	41	147
90	42	147
91	42	146
92	42	146
93	43	146
94	43	145
95	44	145
96	44	144
97	45	144
98	45	143
99	46	143
100	46	142
101	47	142
102	47	141
103	47	141
104	48	141
105	49	140
106	49	140
107	50	139
108	50	139
109	51	139
110	51	138
111	51	138
112	52	137
113	52	137
114	53	136
115	53	136
116	54	135
117	54	135
118	55	134
119	55	134
120	55	133
121	56	133
122	56	132
123	57	132
124	57	131
125	58	131
126	58	130
127	59	130
128	59	129
129	60	129
130	60	128
131	60	128
132	61	127
133	61	127
134	62	127
135	62	126
136	63	126
137	63	125
138	64	125
139	64	124
140	65	124
141	65	123
142	65	123
143	66	122
144	67	122
145	67	122
146	68	121
147	68	121
148	69	121
149	69	120
150	70	120
151	70	119
152	71	119
153	71	118
154	72	118
155	72	118
156	72	117
157	73	117
158	73	116
159	74	116
160	74	115
161	75	115
162	75	114
163	76	114
164	76	113
165	77	113
166	77	112
167	77	112
168	78	111
169	78	111
170	79	110
171	79	110
172	79	109
173	80	109
174	80	108
175	81	107
176	81	107
177	82	106
178	82	106
179	82	105
180	83	105
181	83	104
182	84	104
183	84	103
184	85	103
185	85	102
186	85	102
187	86	101
188	86	101
189	87	100
190	87	100
191	88	99
192	88	99
193	88	98
194	89	98
195	89	97
196	90	97
197	90	96
198	90	96
199	91	95
200	91	95
201	92	94
202	92	94
203	92	93
204	93	93
205	93	92
206	94	92
207	94	91
208	95	91
209	95	91
210	95	90
211	96	90
212	96	89
213	97	89
214	97	88
215	98	88
216	98	87
217	98	87
218	99	86
219	99	86
220	100	85
221	100	85
222	100	84
223	101	84
224	101	83
225	102	83
226	102	82
227	103	82
228	103	81
229	103	81
230	104	80
231	104	80
232	105	79
233	105	79
234	106	78
235	106	78
236	106	78
237	107	77
238	107	77
239	108	76
240	108	76
241	108	75
242	109	75
243	109	74
244	110	74
245	110	73
246	111	73
247	111	72
248	111	72
249	112	71
250	112	71
251	113	70
252	113	70
253	114	70
254	114	69
255	114	69
256	115	68
257	115	68
258	116	67
259	116	67
260	117	66
261	117	66
262	117	65
263	118	65
264	118	65
265	119	64
266	119	64
267	120	63
268	120	63
269	121	62
270	121	62
271	121	61
272	122	61
273	122	60
274	123	60
275	123	59
276	123	59
277	124	59
278	124	58
279	125	58
280	125	57
281	126	57
282	126	56
283	126	56
284	127	55
285	127	55
286	128	54
287	128	54
288	129	54
289	129	53
290	130	53
291	130	52
292	130	52
293	131	51
294	131	51
295	132	50
296	132	50
297	133	49
298	133	49
299	133	49
300	134	48
301	134	48
302	135	47
303	135	47
304	135	46
305	136	46
306	136	45
307	137	45
308	137	45
309	138	44
310	138	44
311	138	43
312	139	43
313	139	42
314	140	42
315	140	41
316	141	41
317	141	40
318	141	40
319	142	39
320	142	39
321	143	39
322	143	38
323	143	38
324	144	37
325	144	37
326	145	36
327	146	36
328	146	36
329	147	35
330	148	35
331	148	34
332	149	34
333	149	34
334	150	33
335	150	33
336	151	32
337	151	32
338	151	31
339	152	31
340	152	30
341	153	30
342	153	29
343	153	29
344	154	29
345	154	28
346	155	28
347	155	27
348	156	27
349	156	26
350	156	26
351	157	25
352	157	25
353	158	25
354	158	24
355	159	24
356	159	23
357	159	23
358	160	22
359	160	22
360	161	21
361	161	21
362	161	20
363	162	20
364	163	20
365	163	19
366	164	19
367	164	18
368	165	18
369	166	17
370	166	17
371	167	17
372	167	16
373	168	16
374	168	15
375	169	15
376	169	14
377	170	14
378	170	13
379	170	13
380	171	13
381	171	12
382	172	12
383	172	11
384	173	11
385	173	10
386	174	10
387	174	9
388	174	9
389	175	8
390	175	8
391	176	8
392	176	7
393	176	7
394	177	6
395	177	6
396	178	5
397	178	5
398	178	4
399	179	4
400	179	4
401	180	3
402	181	3
403	181	2
404	181	2
405	182	1
406	182	1
407	183	0
408	183	0
409	183	0
